Transaction_ID,Order_Date,Customer_ID,Customer_Age,Customer_Gender,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Rate,Total_Sales,Region
TXN-0157,16/05/2023,CUST-1169,20.0,Female,clothing,Running Shoes,5, 85.0 ,0.1,382.50,east
TXN-0158,28/06/2023,CUST-1150,51.0,FEMALE,Electronics, Laptop ,5,$950.00,,4750.00,north
TXN-0159,2023-05-12,CUST-1420,50.0,Male,apparel,Jeans,5, 60.0 ,0.1,270.00,east
txn_0160,N/A,,22.0,  Male  ,Appliances,Microwave Oven,4, 180.0 ,25%,540.00,North
TXN-0161,2023.02.07,CUST-1154,46.0,Male,Appliances,Refrigerator,5, 850.0 ,0.15,"$999,999.00",west
TXN-0162,2023-03-05,CUST-1280,65.0,Female,  Electronics , Tablet ,3,$350.00,0.05,$997.50,west
TXN-0163,2023-05-29,CUST-1297,26.0,MALE,  Electronics , Laptop ,3,$950.00,0.25,"$2,137.50",East
TXN-0164,2023-04-24,CUST-1184,48.0,Female,Electro,Smartwatch,3,$200.00,0.15,510.00,west
165,2023.01.16,CUST-1464,,FEMALE,home appliances,Microwave Oven,3, 180.0 ,0.05,513.00,NORTH
TXN-0166,"Sep 21, 2023",CUST-1289,65.0,Female,,Air Conditioner,2,$650.00,15%,"$1,105.00",East
TXN-0167,2023-12-27,CUST-1134,42.0,Female,Electronics,Laptop,5, 950.0 ,25%,"$3,562.50",west
TXN-0168,24/05/2023,CUST-1367,44.0,male,Home-Appliances,Microwave Oven,4,$180.00,10%,$648.00,NORTH
TXN-0169,"Apr 03, 2023",CUST-1009,36.0,MALE,Electro,Wireless Headphones,5,120.0,25%,$450.00,  North 
txn_0170,"Apr 28, 2023",1267.0,44.0, Female ,Electro,Laptop,5,$950.00,0.1,,east
TXN-0171,2023-08-04,CUST-1480,42.0, Female ,apparel,Running Shoes,1,85.0,0.05,,South
TXN-0172,06-11-2023,CUST-1299,45.0, Female ,Home-Appliances,Refrigerator,4,850.0,25%,2550.00,north
TXN-0173,2023-04-28,1260.0,53.0,Male,Home Appliances,Refrigerator,5,$850.00,0.05,"$4,037.50",west
TXN-0174,02/11/2023,CUST-1103,51.0,Male,  Electronics ,Wireless Headphones,1,120.0,,120.00,east
TXN-0175,2023-04-13,1046.0,53.0,Female,APPAREL,Hat,4,$18.00,0.05,$68.40,west
TXN-0176,2023.10.03,CUST-1193,66.0,F,  Electronics ,Wireless Headphones,4,120.0,15%,408.00,south
TXN-0177,"May 28, 2023",CUST-1038,38.0, Female ,electronics,Smartwatch,3,$200.00,25%,$450.00,West
TXN-0178,2023.01.04,CUST-1190,54.0,F,clothing,Hat,1,18.0,,18.00,West
TXN-0179,"Dec 24, 2023",1345.0,38.0,  Male  ,ELECTRONICS,Laptop,3,950.0,0.15,"$2,422.50",  North 
txn_0180,2023-04-28,CUST-1221,65.0,Male,Home-Appliances, Microwave Oven ,5, 180.0 ,25%,$675.00,south
TXN-0181,"Nov 19, 2023",CUST-1184,34.0,female,clothing, Jacket ,2,$110.00,25%,$165.00,south
TXN-0182,20/11/2023,CUST-1215,22.0,Female,APPAREL,Jacket,4,110.0,0.25,330.00,NORTH
TXN-0183,05-01-2023,CUST-1040,24.0,F,Home Appliances,Refrigerator,1,$850.00,20%,680.00,NORTH
TXN-0184,2023-03-29,CUST-1166,52.0,FEMALE,clothing, Running Shoes ,5,85.0,0.2,$340.00,south
TXN-0185,2023-06-05,CUST-1069,18.0,F,Electro,Tablet,5,$350.00,0.2,1400.00,east
TXN-0186,07-13-2023,CUST-1264,62.0,  Male  ,Appliances,Vacuum Cleaner,2,$160.00,20%,$256.00,North
TXN-0187,2023-01-12,1224.0,27.0,,Apparel ,Running Shoes,4,$85.00,,$340.00,east
TXN-0188,06/10/2023,CUST-1418,-1.0,F,Electronics, Laptop ,2, 950.0 ,0.05,"$1,805.00",south
TXN-0189,2023-07-04,1324.0,150.0,female,Electronics,Smartwatch,5, 200.0 ,25%,$750.00,East
txn_0190,2023.03.20,1119.0,59.0,F,Home Appliances,Microwave Oven,1, 180.0 ,0.1,$162.00,  North 
TXN-0191,2023-10-11,CUST-1419,18.0,FEMALE,home appliances,Coffee Maker,5,75.0,20%,$300.00,south
TXN-0192,07-29-2023,CUST-1034,,M,apparel, T-Shirt ,4,25.0,15%,,South
TXN-0193,"Sep 09, 2023",1285.0,41.0,Male,HOME APPLIANCES,Microwave Oven,1, 180.0 ,25%,135.00,NORTH
TXN-0194,2023-10-13,CUST-1183,45.0,M,clothing,Running Shoes,5,$85.00,0.15,361.25,East
195,2023.05.04,CUST-1474,46.0,female,, Hat ,2,$18.00,10%,32.40,south
TXN-0196,2023.10.11,CUST-1048,,M,Appliances,Coffee Maker,5,75.0,20%,300.00,north
TXN-0197,2023-11-25,CUST-1040,39.0,female,Apparel,Hat,5,18.0,,90.00,East
TXN-0198,24/12/2023,CUST-1201,54.0,MALE,Apparel , Running Shoes ,1,$85.00,0.2,68.00,West
TXN-0199,30/11/2023,CUST-1268,67.0, Female ,Apparel ,Jeans,5, 60.0 ,0.2,$240.00,East
,invalid_date,CUST-1075,18.0,male,Electro, Tablet ,2,350.0,0.1,630.00,west
TXN-0201,2023-05-11,CUST-1316,18.0,  Male  ,ELECTRONICS,Smartphone,0,550.0,15%,$0.00,West
TXN-0202,12/01/2023,CUST-1250,40.0,Female,apparel,Running Shoes,1,85.0,0.05,$80.75,east
TXN-0203,2023-03-12,CUST-1313,44.0,M,HOME APPLIANCES,Microwave Oven,2,180.0,10%,$324.00,NORTH
TXN-0204,10-17-2023,CUST-1368,27.0,Female,Home-Appliances,Microwave Oven,3,$180.00,0.05,513.00,South
TXN-0205,2023-04-29,,26.0, Female ,APPAREL, Hat ,2,$18.00,0.05,34.20,South
TXN-0206,15/04/2023,CUST-1443,47.0,female,Home Appliances,Air Conditioner,4,650.0,0.05,"$2,470.00",South
TXN-0207,2023-10-03,,21.0,F,APPAREL,Running Shoes,3,$85.00,10%,229.50,NORTH
TXN-0208,2023.10.27,CUST-1230,,MALE,Home Appliances,Air Conditioner,2,$650.00,0.2,1040.00,west
TXN-0209,2023.03.23,CUST-1467,27.0,M,Apparel,Hat,4,$18.00,10%,,West
txn_0210,2023-09-13,CUST-1111,44.0, Female ,home appliances,Vacuum Cleaner,2,$160.00,5%,304.00,East
TXN-0211,2023-02-14,CUST-1344,62.0,FEMALE,Home-Appliances,Coffee Maker,3,75.0,25%,168.75,East
TXN-0212,31/07/2023,CUST-1055,51.0,F,clothing,Running Shoes,5,$85.00,25%,318.75,West
TXN-0213,03/04/2023,CUST-1000,68.0,MALE,Apparel ,Jacket,2,$110.00,5%,$209.00,East
TXN-0214,2023.07.22,1089.0,61.0,F,apparel,T-Shirt,5,25.0,0.05,$118.75,west
TXN-0215,2023-04-17,CUST-1407,35.0,Female,  Electronics ,Smartphone,5, 550.0 ,5%,"$2,612.50",south
TXN-0216,26/09/2023,CUST-1398,50.0,,  Electronics , Smartwatch ,5,$200.00,0.05,$950.00,North
TXN-0217,2023.07.18,CUST-1022,23.0,Male,APPAREL, Jacket ,2,$110.00,0.15,$187.00,north
TXN-0218,2023.11.15,CUST-1281,63.0, Female ,Electronics,Smartphone,1,550.0,5%,522.50,West
TXN-0219,07-02-2023,CUST-1343,66.0, Female ,Apparel , Hat ,4, 18.0 ,0.15,61.20,East
txn_0220,2023-09-07,CUST-1236,40.0,M,Apparel ,Jacket,1,110.0,25%,$82.50,South
TXN-0221,"Dec 22, 2023",CUST-1403,29.0,male,Appliances,Vacuum Cleaner,3, 160.0 ,0.05,456.00,East
TXN-0222,2023-11-27,CUST-1454,18.0,M,APPAREL,Jacket,3,110.0,0.2,264.00,  North 
TXN-0223,07-26-2023,CUST-1495,,Female,APPAREL,Running Shoes,4,85.0,0.1,$306.00,East
TXN-0224,08-02-2023,CUST-1068,,M,Home-Appliances,Vacuum Cleaner,2,160.0,0.25,$240.00,West
225,01/07/2023,1255.0,50.0,FEMALE,Apparel,Jeans,1, 60.0 ,0.25,$45.00,north
TXN-0226,09/11/2023,CUST-1491,52.0,  Male  ,APPAREL,Running Shoes,-1,85.0,15%,0.00,  North 
TXN-0227,"Feb 01, 2023",CUST-1336,57.0,,electronics,Wireless Headphones,2,$120.00,0.05,228.00,East
TXN-0228,2023-03-31,CUST-1270,23.0, Female ,home appliances,Air Conditioner,4,650.0,15%,"$2,210.00",West
TXN-0229,"Sep 01, 2023",CUST-1272,42.0,M,Apparel , Jeans ,3, 60.0 ,0.15,153.00,East
txn_0230,2023-05-17,CUST-1236,64.0,MALE,electronics,Wireless Headphones,-2,$120.00,,$0.00,south
TXN-0231,2023-04-09,1304.0,56.0,male,  Electronics , Wireless Headphones ,5,$120.00,10%,540.00,south
TXN-0232,2023-08-07,CUST-1082,21.0,Female,HOME APPLIANCES,Air Conditioner,4,$650.00,20%,2080.00,north
TXN-0233,08-15-2023,1292.0,19.0,M,Home Appliances,Coffee Maker,3,75.0,20%,180.00,north
TXN-0234,"Apr 26, 2023",CUST-1246,40.0,  Male  ,Apparel,Running Shoes,4,$85.00,25%,255.00,north
TXN-0235,"Dec 19, 2023",CUST-1376,19.0, Female ,Home-Appliances, Microwave Oven ,5,180.0,,900.00,east
TXN-0236,2023-04-19,CUST-1347,65.0,male,, Laptop ,5, 950.0 ,0.05,4512.50,  North 
TXN-0237,"Feb 24, 2023",CUST-1032,65.0,Female,  Electronics ,Laptop,2, 950.0 ,0.1,"$1,710.00",South
TXN-0238,25/10/2023,CUST-1313,49.0,Male,Home Appliances,Coffee Maker,4,$75.00,25%,225.00,  North 
